id,phase,criterion,status,evidence_class,release_blocking,evidence_paths,evidence_summary,owner,next_gate
"p5.pr-host-ci","5","Per-PR jobs build install lint validate and run the complete host gate","partial","configuration-unobserved","true",".github/workflows/host.yml|qualification/reports/ci-and-constraints.md|qualification/reports/host-ttnn-0.77.md|qualification/reports/static-quality.md","One consolidated two-Python workflow consumes host base and build-dev hash locks validates dependency/static baselines audits and Twine-checks artifacts non-editably installs and runs full host; no required CI run is observed and quality debt remains Phase 9","CI owner","Observe and require the workflow then convert the explicit quality baseline into reviewed zero-regression gates during Phase 9"
"p5.hardware-ci","5","Focused architecture and SKU hardware jobs are implemented and executed","blocked","hardware-unrun","true","qualification/manifests/hardware-matrix.json|qualification/reports/test-pyramid.md","Selectors and serialization policy exist but no hardware workflow result exists","hardware CI owner","Implement reservation-aware serialized jobs and record first passing Wormhole and Blackhole runs"
"p5.scheduled-release","5","Scheduled and release gates cover correctness performance cache and cleanup across supported geometry","blocked","hardware-unrun","true","qualification/manifests/hardware-matrix.json|qualification/reports/test-pyramid.md","A 42-node candidate matrix exists without executed release evidence or complete promoted support matrix","hardware and release owners","Approve exact release-node manifest then execute cold/warm correctness accuracy performance and teardown gates"
"p5.skip-evidence","5","Skipped hardware tests are never treated as support evidence","pass","policy-static","false","qualification/reports/test-pyramid.md|qualification/analysis/support/hardware_evidence.csv","Policy and support records explicitly reject skips and other-SHA observations as evidence","qualification owner","Enforce the same rule in evidence ingestion and release review"
"p6.manifests","6","All active examples have schema-valid machine-readable manifests and complete READMEs","pass","host-static","false","examples/README.md|qualification/tools/validate_support_docs.py|qualification/schemas/support-manifest.schema.json","Validator passes all twelve experimental manifests READMEs and both support matrices","documentation owner","Re-run validator after every evidence or version update"
"p6.support-matrix","6","Human support matrix distinguishes concrete runnable experimental and qualified","pass","repository-static","false","SUPPORT.md|examples/README.md","Both matrices state that all twelve products are runnable but experimental and have no pinned-SHA hardware evidence","documentation owner","Promote rows only through evidence-backed manifest changes"
"p6.hf-revisions","6","Every active example records an exact HF revision","pass","repository-static","false","SUPPORT.md|examples/README.md","All twelve active manifests and READMEs record immutable 40-character HF revisions","model owners","Use these exact revisions for every future hardware and clean-machine result"
"p6.status-honesty","6","No example is marked qualified without exact evidence","pass","repository-static","false","examples/README.md|qualification/analysis/support/hardware_evidence.csv","All twelve manifests are experimental with null validation fields and empty evidence","qualification owner","Preserve fail-closed promotion validation"
"p6.qualified-examples","6","Qualified examples work on their complete declared matrix","blocked","hardware-unrun","true","examples/README.md|qualification/manifests/hardware-matrix.json","There are zero qualified examples and no destination-SHA hardware run","model and hardware owners","Pin remaining checkpoints then qualify at least the intended release examples on every claimed geometry"
"model.deepseek_r1_distill_qwen_14b","6","Release qualification for deepseek_r1_distill_qwen_14b","blocked","host-complete-hardware-unrun","true","examples/deepseek_r1_distill_qwen_14b/support.json|examples/deepseek_r1_distill_qwen_14b/README.md","Concrete runnable experimental; revision pinned; no validation date SHA or hardware evidence","DeepSeek model owner","Run declared N300 and T3K TP/DP correctness cache and teardown gates"
"model.llama32_1b","6","Release qualification for llama32_1b","blocked","host-complete-hardware-unrun","true","examples/llama32_1b/support.json|examples/llama32_1b/README.md","Concrete runnable experimental; revision 9213176726f574b556790deb65791e0c5aa438b6 pinned; no hardware evidence","Llama 3.2 1B owner","Run N150 N300 and T3K TP/DP gates at the pinned revision"
"model.llama32_3b","6","Release qualification for llama32_3b","blocked","host-complete-hardware-unrun","true","examples/llama32_3b/support.json|examples/llama32_3b/README.md","Concrete runnable experimental; revision 0cb88a4f764b7a12671c53f0838cd831a0843b95 pinned; no hardware evidence","Llama 3.2 3B owner","Run N150 N300 and T3K TP/DP gates at the pinned revision"
"model.llama33_70b","6","Release qualification for llama33_70b","blocked","host-complete-hardware-unrun","true","examples/llama33_70b/support.json|examples/llama33_70b/README.md|qualification/manifests/llama33_70b/bh_required_capabilities.json","Concrete runnable experimental; revision 6f6073b423013f6a7d4d9f39144961bfbfbc386b pinned; BH contract is pre-acceptance only","Llama 3.3 70B owner","Pass T3K and physical P150_X4/P300_X2-provenance gates"
"model.llama3_8b","6","Release qualification for llama3_8b","blocked","host-complete-hardware-unrun","true","examples/llama3_8b/support.json|examples/llama3_8b/README.md|qualification/manifests/llama3_8b/bh_required_capabilities.json","Concrete runnable experimental; revision 0e9e39f249a16976918f6564b8830bc894c89659 pinned; broad WH/BH matrix has no attributable result","Llama 3.1 8B owner","Execute declared WH and BH TP/DP accuracy performance cache and cleanup gates"
"model.mistral_7b","6","Release qualification for mistral_7b","blocked","host-complete-hardware-unrun","true","examples/mistral_7b/support.json|examples/mistral_7b/README.md","Concrete runnable experimental; revision c170c708c41dac9275d15a8fff4eca08d52bab71 pinned; no hardware evidence","Mistral owner","Execute N150 N300 and T3K gates at the pinned revision"
"model.phi4","6","Release qualification for phi4","blocked","host-complete-hardware-unrun","true","examples/phi4/support.json|examples/phi4/README.md","Concrete runnable experimental; revision pinned; no hardware evidence","Phi-4 owner","Run N300 and T3K TP2/DP4 correctness and cleanup gates"
"model.qwen25_72b","6","Release qualification for qwen25_72b","blocked","host-complete-hardware-unrun","true","examples/qwen25_72b/support.json|examples/qwen25_72b/README.md|src/tt_transformers/models/qwen25_72b/hf_adaptor.py","Revision pinned and remote-code default removed; T3K hardware is unrun","Qwen2.5 72B owner","Run the T3K TP8 correctness cache and teardown gates"
"model.qwen25_7b","6","Release qualification for qwen25_7b","blocked","host-complete-hardware-unrun","true","examples/qwen25_7b/support.json|examples/qwen25_7b/README.md","Concrete runnable experimental; revision a09a35458c702b33eeacc393d103063234e8bc28 pinned; no hardware evidence","Qwen2.5 7B owner","Execute N300 and T3K TP2/DP4 gates at the pinned revision"
"model.qwen25_coder_32b","6","Release qualification for qwen25_coder_32b","blocked","host-complete-hardware-unrun","true","examples/qwen25_coder_32b/support.json|examples/qwen25_coder_32b/README.md|src/tt_transformers/models/qwen25_coder_32b/hf_adaptor.py","Revision pinned and remote-code default removed; T3K hardware is unrun","Qwen2.5 Coder 32B owner","Run the T3K TP8 correctness cache and teardown gates"
"model.qwen2_7b","6","Release qualification for qwen2_7b","blocked","host-complete-hardware-unrun","true","examples/qwen2_7b/support.json|examples/qwen2_7b/README.md","Concrete runnable experimental; revision f2826a00ceef68f0f2b946d945ecc0477ce4450c pinned; no hardware evidence","Qwen2 7B owner","Execute N300 and T3K TP2/DP4 gates at the pinned revision"
"model.qwen3_32b","6","Release qualification for qwen3_32b","blocked","host-complete-hardware-unrun","true","examples/qwen3_32b/support.json|examples/qwen3_32b/README.md|qualification/manifests/qwen3_32b/bh_required_capabilities.json|src/tt_transformers/models/qwen3_32b/hf_adaptor.py","Revision pinned and remote-code default removed; T3K/BH hardware is unrun","Qwen3 32B owner","Pass T3K and physical BH correctness cache and teardown gates"
"p7.artifacts","7","Wheel and sdist build and have reproducible hashes for the current metadata","pass","host-artifact","false","qualification/reports/package-wheel.md|qualification/reports/package-artifact-hashes.json|pyproject.toml","Two SOURCE_DATE_EPOCH builds match byte-for-byte: wheel a8837a3803930b97d527ef569190ec69b9dddc7b0c7537d183c1ad1268a0ae51 and normalized sdist 4f62cb8df64da31af6076d86bbb4fb7528de4ae8ff5eddeab0f14170e40dc407 match the recorded pyproject and source hashes","packaging owner","Rebuild once more from the approved release commit and compare manifests"
"p7.contents","7","Wheel contains implementation but no tests examples qualification weights caches or old namespace","pass","host-artifact","false","qualification/reports/package-wheel.md|qualification/reports/package-wheel-manifest.json","138 wheel entries satisfy archive and byte-identity policy with zero forbidden payloads","packaging owner","Run artifact audit as a required CI job"
"p7.isolated-install","7","Built wheel installs without a tt-metal checkout on both supported Python versions","pass","isolated-host","false","qualification/reports/package-wheel.md","Non-editable site-packages-only imports pass on CPython 3.10 and 3.12 with exact base tuple","packaging owner","Repeat from the final release artifact"
"p7.default-revisions","7","Every default HF checkpoint revision is pinned","pass","repository-static","false","SUPPORT.md|examples/README.md","All twelve defaults are pinned to immutable 40-character revisions and generated documentation agrees","model owners","Reject future UNPINNED defaults in support validation"
"p7.trust-remote-code","7","No model enables trust_remote_code by default","pass","repository-static","false","src/tt_transformers/models/qwen3_32b/hf_adaptor.py|src/tt_transformers/models/qwen25_coder_32b/hf_adaptor.py|src/tt_transformers/models/qwen25_72b/hf_adaptor.py","Repository scan finds zero forced trust_remote_code=True sites after the three Qwen adaptors adopted ordinary pinned loading","security and model owners","Keep a zero-site static gate in release CI"
"p7.offline-policy","7","Online and offline checkpoint loading is explicit and independent of CI","pass","host-static","false","qualification/extraction/cache_environment.md|tests/host/test_cache_environment.py","Typed explicit offline controls are used by all twelve adaptors and CI alone does not force offline","cache owner","Exercise both modes in release qualification without exposing secrets"
"p7.cache-versioning","7","Tensor-cache paths include the complete versioned identity","partial","host-static-explicit-override-gap","true","qualification/extraction/cache_environment.md","Implicit defaults include identity-schema and digest in the path; explicit cache_dir and TT_CACHE_PATH overrides intentionally preserve unversioned paths and emit release warnings","cache owner","Qualify explicit cold and warm caches and require evidence to bind every override path to its exact preflight identity"
"p7.preflight","7","Preflight identifies software hardware model and cache state","partial","host-static","true","qualification/extraction/cache_environment.md|qualification/manifests/hardware-matrix.json","Software model cache topology and redacted environment reporting is host-tested; firmware driver-visible device reporting is not device-validated","runtime and hardware owners","Run preflight on each release hardware class and attach output to evidence"
"p7.clean-machine-flow","7","Clean machine install checkpoint run validation and cleanup succeeds","blocked","hardware-unrun","true","qualification/reports/package-wheel.md|examples/README.md","Install/import is proven but no documented example has run to validated output and teardown from a standalone release wheel","release qualification owner","Execute the full clean-machine flow for at least one promoted qualified example"
"p7.release-identity","7","Artifacts are tied to a committed approved non-development release identity","blocked","repository-state","true","pyproject.toml|qualification/reports/package-artifact-hashes.json|TTTV2_MIGRATION_WORK_LOG.md","Version is 0.1.0.dev0 and migration files are not yet represented by a destination commit/tag; support validation SHAs are null","release owner","Commit the reviewed tree choose release version tag and regenerate all artifact and support identities"
"p7.canonical-upload-check","7","Canonical publication metadata check passes","pass","clean-host-artifact","false","qualification/reports/package-wheel.md","Clean Twine 7.0.0 with readme-renderer 46.0 passes --strict for both final artifacts with exit zero; direct metadata and archive checks also pass","packaging owner","Require the same strict Twine command in observed release CI"
"p8.inventory","8","Every downstream import registration test CI and qualification site is inventoried","pass","external-read-only","false","qualification/reports/consumer-cutover.md|qualification/reports/consumer_import_sites.csv","209 external sites and gaps are mapped with owners replacements shims gates and ordering","consumer migration owner","Refresh against exact downstream release branches before cutover"
"p8.vllm","8","vLLM plugin imports and pins the released standalone package with registration tests","blocked","external-not-cut-over","true","qualification/reports/consumer-cutover.md|qualification/reports/consumer_import_sites.csv","All twelve registrations still use models.common; dependency and registration-test contracts are missing","vLLM TT plugin owner","Add exact dependency and tests then replace registrations and run server gates"
"p8.tt-metal","8","tt-metal consumers and CI use an exact standalone version","blocked","external-not-cut-over","true","qualification/reports/consumer-cutover.md|qualification/reports/consumer_import_sites.csv","64 imports 107 CI/test paths and 9 qualification duplicates remain external and not cut over","tt-metal consumer owners","Migrate owner groups and atomically switch CI and qualification to one package version"
"p8.one-way","8","Dependency remains consumers to tt-transformers to TTNN with no TTNN reverse edge","pass","external-read-only","false","qualification/reports/consumer-cutover.md|qualification/tools/audit_consumer_cutover.py","No production TTNN reverse import or proposed reverse dependency was found","TTNN and package owners","Keep the reverse-dependency audit as a cutover gate"
"p8.split-brain","8","Split-brain prevention gates pass before duplicate removal","blocked","external-not-cut-over","true","qualification/reports/consumer-cutover.md","Current plugin tt-metal CI and qualification still use the duplicate tree and no same-version external hardware evidence exists","consumer migration owner","Pass all eight documented zero-reference version and import-origin gates"
"p8.single-source","8","One source of truth exists and downstream results agree on the supported matrix","blocked","external-not-cut-over","true","qualification/reports/consumer-cutover.md|qualification/analysis/support/hardware_evidence.csv","All 209 rows remain not_cut_over and no source/destination release hardware comparison exists","release and consumer owners","Complete staged cutover then retire active duplicate through temporary forwarding shims"
"p8.shims","8","Temporary old-import shims have explicit owner duration and removal plan","partial","external-plan-only","true","qualification/reports/consumer-cutover.md|qualification/reports/consumer_import_sites.csv","Shim policy and one-release duration are mapped but no external shim implementation or warning version exists","tt-metal owner","Implement import-only version-reporting shims only where the ledger requires them"
"p9.prerequisite","9","Post-extraction cleanup does not begin before standalone qualification","pass","repository-policy","false","TTTV2_MIGRATION_PLAN.md|qualification/analysis/public_api_policy.md","Deferred HF/vLLM redesign and deduplication have not been conflated with extraction","maintainers","Keep cleanup changes isolated until release qualification passes"
"p9.cleanup","9","Post-extraction deduplication cache lifecycle typing and API cleanup is executed safely","partial","explicit-failing-baseline-prerequisite-unmet","false","TTTV2_MIGRATION_PLAN.md|qualification/reports/static-quality.md|qualification/reports/static-quality-baseline.json","Phase 9 cleanup has an explicit non-green baseline: 2148 Ruff findings 163 files needing Ruff format 489 mypy errors across 99 files and Black bounded timeout; fixes remain deferred until hardware parity","maintainers","After hardware parity reduce reviewed categories incrementally and enforce zero regression without treating the baseline as green"
"overall.scope","overall","Repository contains all agreed TTTv2 code tests documentation and assets except MoE","pass","pinned-static","false","qualification/provenance/source_inventory.csv|qualification/extraction/production_documentation_manifest.json","All 366 inventory rows are classified and every non-excluded assignment resolves; all 26 exclusions are MoE-only","migration owner","Re-run provenance and extraction verification against the release tag"
"overall.wheel-install","overall","pip install from a built wheel succeeds without tt-metal checkout","pass","isolated-host","false","qualification/reports/package-wheel.md","Full wheel installs and imports in isolated CPython 3.10 and 3.12 environments","packaging owner","Repeat from the committed final artifact"
"overall.import-policy","overall","Production imports are limited to package declared dependencies and stdlib","pass","host-static-and-wheel","false","tools/check_import_boundaries.py|qualification/reports/package-wheel.md","Source and installed wheel scans pass","package-boundary owner","Keep as required CI"
"overall.ttnn-verdict","overall","Explicit reviewed TTNN 0.77 compatibility verdict is complete","partial","host-verdict-complete-hardware-unrun","true","qualification/reports/ttnn-0.77.0.md|qualification/reports/ttnn-0.77.0-compatibility-matrix.json|qualification/manifests/hardware-matrix.json","A deterministic host-compatible verdict exists; hardware semantics and every model correctness claim remain unqualified","TTNN compatibility and release owners","Complete the hardware matrix and extend the reviewed verdict without broadening host evidence"
"overall.dependencies","overall","Base example and test dependency sets are distinct and reproducible","pass","hash-locked-clean-install","false","pyproject.toml|qualification/reports/dependency-locks.md|qualification/reports/dependency-lock-evidence.json|qualification/reports/ci-and-constraints.md","Eight hash-complete binary locks pass strict clean installs and pip check: base 31/29 host 64/61 qualification 20/19 and build-dev 44/40 on Python 3.10/3.12; PyYAML is proven in base and tt-transformers is excluded","packaging owner","Require dependency-lock validation and host base build-dev lock consumption in observed CI"
"overall.models","overall","Model implementations are installed under tt_transformers.models","pass","isolated-host","false","qualification/reports/package-wheel.md","All twelve packages and core model modules import from site-packages","model owners","Repeat final installed-surface probe"
"overall.examples","overall","Runnable examples have documented support levels and manifests","pass","host-static","false","SUPPORT.md|examples/README.md|qualification/tools/validate_support_docs.py","All twelve experimental example contracts validate","documentation owner","Update only from evidence-backed model releases"
"overall.qualified","overall","Qualified examples pass their declared host and hardware gates","blocked","hardware-unrun","true","examples/README.md|qualification/analysis/support/hardware_evidence.csv","No example is qualified and no attributable hardware evidence exists","model and hardware owners","Promote selected models only after exact matrix passes"
"overall.legacy","overall","Legacy examples are preserved and versioned rather than silently deleted","pass","pinned-static-and-policy","false","TTTV2_MIGRATION_PLAN.md|examples/legacy/README.md|qualification/analysis/public_api_removals.csv","Pinned-scope audit found twelve active examples and no obsolete legacy candidate; future legacy freeze/version policy is explicit and compatibility removals are ledgered","documentation and API owners","Apply the documented freeze policy when the first active example is deprecated"
"overall.behavior","overall","Current vLLM and direct execution behavior is preserved through extraction","partial","host-only","true","qualification/reports/host-ttnn-0.77.md|qualification/reports/consumer-cutover.md","Host characterization passes but real server direct generation and hardware execution are unrun and external vLLM still targets the old tree","runtime and vLLM owners","Run standalone direct and plugin server behavior gates on representative hardware"
"overall.single-source","overall","Downstream consumers use the new package as single source of truth","blocked","external-not-cut-over","true","qualification/reports/consumer-cutover.md|qualification/reports/consumer_import_sites.csv","All 209 external rows remain not_cut_over","consumer migration owner","Complete ordered cutover and zero-reference split-brain checks"
"overall.generator-redesign","overall","HF and vLLM generator redesign remains separately tracked until prerequisites pass","pass","repository-policy","false","TTTV2_MIGRATION_PLAN.md|qualification/analysis/public_api_policy.md","Extraction retained current facades and did not claim the deferred redesign","maintainers","Open a separate post-qualification design effort only after prerequisites pass"
