priority,layer,source_path,line,scope,timing,module,imported_symbol,classification,proposed_owner,proposed_treatment
P0,models,models/common/models/llama32_3b/model.py,47,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama32_3b/model.py,47,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama33_70b/generator.py,488,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/llama33_70b/model.py,37,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/llama33_70b/model.py,52,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama33_70b/model.py,52,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/generator.py,461,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/llama3_8b/hf_adaptor.py,20,<module>,module,models.common.device_utils,get_device_name,external_models_tt_metal,tt_transformers.device_utils,Internalize the narrow get_device_name helper and its minimal architecture/SKU logic.
P0,models,models/common/models/llama3_8b/hf_adaptor.py,21,<module>,module,models.common.tensor_utils,nearest_multiple,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/model.py,37,<module>,module,models.common.device_utils,get_device_name,external_models_tt_metal,tt_transformers.device_utils,Internalize the narrow get_device_name helper and its minimal architecture/SKU logic.
P0,models,models/common/models/llama3_8b/model.py,38,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/llama3_8b/model.py,48,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/model.py,48,<module>,module,models.common.tensor_utils,get_out_subblock_w,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/model.py,48,<module>,module,models.common.tensor_utils,nearest_32,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/model.py,48,<module>,module,models.common.tensor_utils,num_to_core_range_set,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_8b/model.py,48,<module>,module,models.common.tensor_utils,pad_dim_to_size,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama3_executor.py,25,<module>,module,models.common.sampling,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/mistral_7b/executor.py,26,<module>,module,models.common.sampling,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/mistral_7b/generator.py,463,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/mistral_7b/model.py,29,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/mistral_7b/model.py,45,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/mistral_7b/model.py,45,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/phi4/executor.py,26,<module>,module,models.common.sampling,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/phi4/generator.py,463,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/phi4/model.py,34,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/phi4/model.py,50,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/phi4/model.py,50,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_72b/generator.py,344,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/qwen25_72b/model.py,34,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/qwen25_72b/model.py,50,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_72b/model.py,50,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_7b/generator.py,463,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/qwen25_7b/model.py,27,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/qwen25_7b/model.py,42,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_7b/model.py,42,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_coder_32b/demo.py,43,<module>,module,models.common.tests.demos.cleanup_utils,cleanup_model_case,external_models_test,examples/<model> plus tests/qualification,Remove the production-to-tests edge; keep orchestration helpers with examples and assertions/fixtures with tests.
P0,models,models/common/models/qwen25_coder_32b/demo.py,44,<module>,module,models.common.tests.demos.run_helpers,make_contiguous_page_table,external_models_test,examples/<model> plus tests/qualification,Remove the production-to-tests edge; keep orchestration helpers with examples and assertions/fixtures with tests.
P0,models,models/common/models/qwen25_coder_32b/demo.py,45,<module>,module,models.common.utility_functions,comp_pcc,external_models_tt_metal,tests/qualification,Move PCC comparison out of production/example package code and into qualification helpers.
P0,models,models/common/models/qwen25_coder_32b/generator.py,345,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/qwen25_coder_32b/model.py,29,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/qwen25_coder_32b/model.py,45,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen25_coder_32b/model.py,45,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen2_7b/generator.py,463,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/qwen2_7b/model.py,27,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/qwen2_7b/model.py,42,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen2_7b/model.py,42,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen2_executor.py,23,<module>,module,models.common.sampling,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/qwen3_32b/demo.py,43,<module>,module,models.common.tests.demos.cleanup_utils,cleanup_model_case,external_models_test,examples/<model> plus tests/qualification,Remove the production-to-tests edge; keep orchestration helpers with examples and assertions/fixtures with tests.
P0,models,models/common/models/qwen3_32b/demo.py,44,<module>,module,models.common.tests.demos.run_helpers,make_contiguous_page_table,external_models_test,examples/<model> plus tests/qualification,Remove the production-to-tests edge; keep orchestration helpers with examples and assertions/fixtures with tests.
P0,models,models/common/models/qwen3_32b/demo.py,45,<module>,module,models.common.utility_functions,comp_pcc,external_models_tt_metal,tests/qualification,Move PCC comparison out of production/example package code and into qualification helpers.
P0,models,models/common/models/qwen3_32b/executor.py,28,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/qwen3_32b/generator.py,347,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/qwen3_32b/model.py,31,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/qwen3_32b/model.py,47,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/qwen3_32b/model.py,47,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,43,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,get_out_subblock_w,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,get_rot_transformation_mat,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,nearest_32,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,zeros_like_kv_cache,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,54,<module>,module,models.common.tensor_utils,zeros_like_paged_cache,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/attention/attention_1d.py,1392,Attention1D.from_model_args,nested,models.tt_transformers.tt.model_config,OpGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/attention/attention_1d.py,1392,Attention1D.from_model_args,nested,models.tt_transformers.tt.model_config,TensorGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/embedding/embedding_1d.py,20,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/lazy_weight.py,27,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/lazy_weight.py,27,<module>,module,models.common.tensor_utils,pad_to_shape,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/lazy_weight.py,27,<module>,module,models.common.tensor_utils,parse_shard_dims_from_mesh_mapper_config,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/lm_head/lm_head_1d.py,24,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/lm_head/lm_head_1d.py,26,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/lm_head/lm_head_1d.py,27,<module>,module,models.common.tensor_utils,nearest_32,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_1d.py,25,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/mlp/mlp_1d.py,35,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_1d.py,35,<module>,module,models.common.tensor_utils,get_out_subblock_w,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_1d.py,35,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_1d.py,35,<module>,module,models.common.tensor_utils,pad_dim_to_size,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_1d.py,36,<module>,module,models.tt_transformers.tt.common,Mode,external_models_tttv1,tt_transformers.llm_runtime neutral mode contract,Replace with a TTTv2-owned enum/Literal or the existing string-only prefill/decode contract.
P0,modules,models/common/modules/mlp/mlp_1d.py,514,MLP1D.from_model_args,nested,models.tt_transformers.tt.model_config,OpGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/mlp/mlp_1d.py,514,MLP1D.from_model_args,nested,models.tt_transformers.tt.model_config,TensorGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/mlp/mlp_2d.py,24,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/mlp/mlp_2d.py,34,<module>,module,models.common.tensor_utils,pad_dim_to_size,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/mlp/mlp_2d.py,35,<module>,module,models.common.utility_functions,is_blackhole,external_models_tt_metal,tt_transformers.device_utils,Replace the broad utility import with a narrow architecture predicate.
P0,modules,models/common/modules/mlp/mlp_2d.py,507,MLP2D.from_model_args,nested,models.tt_transformers.tt.model_config,OpGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/mlp/mlp_2d.py,507,MLP2D.from_model_args,nested,models.tt_transformers.tt.model_config,TensorGroup,external_models_tttv1,TTTv1 bridge removal,Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
P0,modules,models/common/modules/rmsnorm/rmsnorm_1d.py,24,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/rmsnorm/rmsnorm_1d.py,27,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,22,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,25,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/rope/rope_1d.py,30,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/rope/rope_1d.py,32,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/rope/rope_1d.py,32,<module>,module,models.common.tensor_utils,get_rot_transformation_mat,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/rope/rope_1d.py,32,<module>,module,models.common.tensor_utils,nearest_32,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,modules,models/common/modules/rope/rope_1d.py,291,RotarySetup1D.from_model_args,nested,models.tt_transformers.tt.common,rope_scaling_model_factory,external_models_tttv1,TTTv1 bridge removal,Remove RotarySetup1D.from_model_args; do not carry the TTTv1 rope-scaling factory.
P0,modules,models/common/modules/rope/rope_1d.py,300,RotarySetup1D.from_model_args,nested,models.tt_transformers.tt.rope,compute_gather_cos_sin,external_models_tttv1,TTTv1 bridge removal,Remove RotarySetup1D.from_model_args and use TTTv2-owned RoPE table construction paths.
P0,modules,models/common/modules/sampling/params.py,22,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,modules,models/common/modules/sampling/penalties_1d.py,20,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/sampling/sampling_1d.py,23,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,modules,models/common/modules/sampling/sampling_1d.py,26,<module>,module,models.common.sampling.vocab_padding,build_invalid_vocab_mask,external_models_tt_metal,tt_transformers.sampling.vocab_padding,Internalize only the three imported vocabulary-padding helpers.
P0,modules,models/common/modules/sampling/sampling_1d.py,26,<module>,module,models.common.sampling.vocab_padding,build_tail_invalid_vocab_mask,external_models_tt_metal,tt_transformers.sampling.vocab_padding,Internalize only the three imported vocabulary-padding helpers.
P0,modules,models/common/modules/sampling/sampling_1d.py,26,<module>,module,models.common.sampling.vocab_padding,get_vocab_shard_dims,external_models_tt_metal,tt_transformers.sampling.vocab_padding,Internalize only the three imported vocabulary-padding helpers.
P0,modules,models/common/modules/sampling/sampling_1d.py,203,Sampling1D.load_device_buffers,nested,models.common.utils,LogProbsCalculator,external_models_tt_metal,tt_transformers.sampling.logprobs,Internalize the narrow log-probability helper required by device sampling.
P0,modules,models/common/modules/tt_ccl.py,7,<module>,module,models.common.device_utils,get_device_name,external_models_tt_metal,tt_transformers.device_utils,Internalize the narrow get_device_name helper and its minimal architecture/SKU logic.
