kind,layer,source_path,line,scope,symbol,signature_or_import,proposed_treatment
tttv1_namespace_import,modules,models/common/modules/mlp/mlp_1d.py,36,<module>,Mode,from models.tt_transformers.tt.common import Mode,Owner: tt_transformers.llm_runtime neutral mode contract. Replace with a TTTv2-owned enum/Literal or the existing string-only prefill/decode contract.
from_model_args_factory,modules,models/common/modules/mlp/mlp_1d.py,479,MLP1D,MLP1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, dtype=None, model_config=None, state_dict_prefix: Optional[str]=None, prefetcher=None)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
tttv1_namespace_import,modules,models/common/modules/mlp/mlp_1d.py,514,MLP1D.from_model_args,OpGroup,from models.tt_transformers.tt.model_config import OpGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
tttv1_namespace_import,modules,models/common/modules/mlp/mlp_1d.py,514,MLP1D.from_model_args,TensorGroup,from models.tt_transformers.tt.model_config import TensorGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
from_model_args_factory,modules,models/common/modules/mlp/mlp_2d.py,483,MLP2D,MLP2D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, state_dict_prefix: Optional[str]=None)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
tttv1_namespace_import,modules,models/common/modules/mlp/mlp_2d.py,507,MLP2D.from_model_args,OpGroup,from models.tt_transformers.tt.model_config import OpGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
tttv1_namespace_import,modules,models/common/modules/mlp/mlp_2d.py,507,MLP2D.from_model_args,TensorGroup,from models.tt_transformers.tt.model_config import TensorGroup,Owner: TTTv1 bridge removal. Remove the from_model_args bridge that consumes OpGroup/TensorGroup; do not internalize legacy model config.
from_model_args_factory,modules,models/common/modules/rmsnorm/rmsnorm_1d.py,339,RMSNorm1D,RMSNorm1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, weight_key: str, state_dict_prefix: Optional[str]=None, sharded_program_config=None, sharded_output_config=None)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
from_model_args_factory,modules,models/common/modules/rmsnorm/rmsnorm_2d.py,277,RMSNorm2D,RMSNorm2D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, weight_key: str, state_dict_prefix: Optional[str]=None)",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
legacy_dispatch_or_adapter,modules,models/common/modules/rope/rope_1d.py,251,RotarySetup1D,RotarySetup1D.get_rot_idxs,"(self, position_idxs: 'torch.Tensor', on_host: bool=False) -> ttnn.Tensor","Characterize direct callers, then remove the TTTv1-only adapter while retaining the TTTv2 core path."
legacy_dispatch_or_adapter,modules,models/common/modules/rope/rope_1d.py,255,RotarySetup1D,RotarySetup1D.get_rot_mats,"(self, position_idxs: 'Union[torch.Tensor, ttnn.Tensor]', return_rot_idxs: bool=False) -> 'Union[List[ttnn.Tensor], Tuple[List[ttnn.Tensor], ttnn.Tensor]]'","Characterize direct callers, then remove the TTTv1-only adapter while retaining the TTTv2 core path."
from_model_args_factory,modules,models/common/modules/rope/rope_1d.py,280,RotarySetup1D,RotarySetup1D.from_model_args,"(cls, device: Any, args, model_name: str='unknown')",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
tttv1_namespace_import,modules,models/common/modules/rope/rope_1d.py,291,RotarySetup1D.from_model_args,rope_scaling_model_factory,from models.tt_transformers.tt.common import rope_scaling_model_factory,Owner: TTTv1 bridge removal. Remove RotarySetup1D.from_model_args; do not carry the TTTv1 rope-scaling factory.
tttv1_namespace_import,modules,models/common/modules/rope/rope_1d.py,300,RotarySetup1D.from_model_args,compute_gather_cos_sin,from models.tt_transformers.tt.rope import compute_gather_cos_sin,Owner: TTTv1 bridge removal. Remove RotarySetup1D.from_model_args and use TTTv2-owned RoPE table construction paths.
from_model_args_factory,modules,models/common/modules/sampling/penalties_1d.py,148,Penalties1D,Penalties1D.from_model_args,"(cls, mesh_device, args) -> Penalties1D",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
from_model_args_factory,modules,models/common/modules/sampling/sampling_1d.py,674,Sampling1D,Sampling1D.from_model_args,"(cls, mesh_device, tt_ccl, args, model_config=None) -> Sampling1D",Remove after characterization; this is an explicit TTTv1 ModelArgs bridge per the migration plan.
