category,assumption,layer,source_path,line,scope,expression,impact,proposed_treatment
global_device,mutates TTNN process-global default device,models,models/common/models/llama32_1b/hf_adaptor.py,221,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_1b/hf_adaptor.py,222,from_pretrained,"AutoConfig.from_pretrained(hf_model, local_files_only=os.getenv(""CI"") == ""true"")","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_1b/hf_adaptor.py,223,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"" )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_3b/hf_adaptor.py,141,load_tokenizer,"AutoTokenizer.from_pretrained(hf_model, local_files_only=os.getenv(""CI"") == ""true"")","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/llama32_3b/hf_adaptor.py,162,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/llama32_3b/hf_adaptor.py,163,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/llama32_3b/hf_adaptor.py,222,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_3b/hf_adaptor.py,223,from_pretrained,"AutoConfig.from_pretrained(hf_model, local_files_only=os.getenv(""CI"") == ""true"")","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_3b/hf_adaptor.py,224,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"" )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama33_70b/hf_adaptor.py,143,load_tokenizer,"AutoTokenizer.from_pretrained(hf_model, local_files_only=os.getenv(""CI"") == ""true"")","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/llama33_70b/hf_adaptor.py,192,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/llama33_70b/hf_adaptor.py,193,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/llama33_70b/hf_adaptor.py,267,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama33_70b/hf_adaptor.py,269,from_pretrained,"AutoConfig.from_pretrained(hf_model, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama33_70b/hf_adaptor.py,275,from_pretrained,"AutoModelForCausalLM.from_pretrained(hf_model, torch_dtype=torch.bfloat16, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama3_8b/hf_adaptor.py,221,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, local_files_only=os.getenv(""CI"") == ""true"", trust_remote_code=trust_remote_code, )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama3_8b/hf_adaptor.py,358,load_converted_state_dict,"AutoModelForCausalLM.from_pretrained( hf_model, torch_dtype=""auto"", trust_remote_code=trust_remote_code, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/llama3_8b/hf_adaptor.py,384,_model_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/llama3_8b/hf_adaptor.py,388,_model_cache_path,"configured_path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
filesystem,filesystem mkdir operation,models,models/common/models/llama3_8b/hf_adaptor.py,396,_model_cache_path,"fallback_path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama3_8b/hf_adaptor.py,474,from_pretrained,"AutoConfig.from_pretrained( hf_model, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
filesystem,filesystem exists operation,models,models/common/models/llama3_8b/model.py,63,LazyWeight._get_cache_fill_path,exact_path.exists(),"Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
filesystem,filesystem glob operation,models,models/common/models/llama3_8b/model.py,75,LazyWeight._get_cache_fill_path,exact_path.parent.glob(portable_pattern),"Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
filesystem,filesystem is_file operation,models,models/common/models/llama3_8b/model.py,75,LazyWeight._get_cache_fill_path,candidate.is_file(),"Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/mistral_7b/hf_adaptor.py,144,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/mistral_7b/hf_adaptor.py,168,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/mistral_7b/hf_adaptor.py,169,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/mistral_7b/hf_adaptor.py,254,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/mistral_7b/hf_adaptor.py,255,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/mistral_7b/hf_adaptor.py,267,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, revision=hf_revision, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/phi4/hf_adaptor.py,145,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/phi4/hf_adaptor.py,171,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/phi4/hf_adaptor.py,172,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/phi4/hf_adaptor.py,259,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/phi4/hf_adaptor.py,261,from_pretrained,"AutoConfig.from_pretrained(hf_model, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/phi4/hf_adaptor.py,263,from_pretrained,"AutoModelForCausalLM.from_pretrained(hf_model, torch_dtype=torch.bfloat16, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_72b/hf_adaptor.py,154,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, trust_remote_code=True, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/qwen25_72b/hf_adaptor.py,189,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/qwen25_72b/hf_adaptor.py,190,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_72b/hf_adaptor.py,282,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_72b/hf_adaptor.py,288,from_pretrained,"AutoConfig.from_pretrained(hf_model, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_72b/hf_adaptor.py,290,from_pretrained,"AutoModelForCausalLM.from_pretrained(hf_model, torch_dtype=torch.bfloat16, **load_kwargs)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_72b/model.py,613,build_qwen25_72b_model,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_7b/hf_adaptor.py,141,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/qwen25_7b/hf_adaptor.py,168,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/qwen25_7b/hf_adaptor.py,169,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_7b/hf_adaptor.py,237,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_7b/hf_adaptor.py,238,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_7b/hf_adaptor.py,243,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, revision=hf_revision, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/demo.py,55,_skip_unless_t3k,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,124,test_qwen25_coder_32b_prefill_smoke,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,139,test_qwen25_coder_32b_prefill_smoke,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,169,test_qwen25_coder_32b_decode_one_step,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,183,test_qwen25_coder_32b_decode_one_step,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,214,test_qwen25_coder_32b_executor_prefill_smoke,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,226,test_qwen25_coder_32b_executor_prefill_smoke,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/demo.py,240,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,277,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/demo.py,279,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,"AutoModelForCausalLM.from_pretrained(hf_model_id, torch_dtype=torch.bfloat16)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,295,test_qwen25_coder_32b_teacher_forcing_prefill_vs_hf,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,340,test_qwen25_coder_32b_eager_traced_prefill_logits_match,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,354,test_qwen25_coder_32b_eager_traced_prefill_logits_match,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/demo.py,383,test_qwen25_coder_32b_numerical_divergence_vs_hf,AutoConfig.from_pretrained(hf_model_id),"Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/demo.py,399,test_qwen25_coder_32b_numerical_divergence_vs_hf,"AutoModelForCausalLM.from_pretrained(hf_model_id, torch_dtype=torch.bfloat16)","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,517,test_qwen25_coder_32b_numerical_divergence_vs_hf,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/demo.py,537,test_qwen25_coder_32b_numerical_divergence_vs_hf,ttnn.SetDefaultDevice(None),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
filesystem,opens a caller/environment-selected output path,models,models/common/models/qwen25_coder_32b/demo.py,586,test_qwen25_coder_32b_numerical_divergence_vs_hf,"open(out_csv, ""w"", newline="""")",Writes benchmark/qualification output as a runtime side effect.,Keep under examples/qualification and require an explicit output path.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,155,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, trust_remote_code=True, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,189,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,190,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,279,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,280,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen25_coder_32b/hf_adaptor.py,286,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, revision=hf_revision, torch_dtype=torch.bfloat16, local_files_only=_local_files_only(), )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
global_device,mutates TTNN process-global default device,models,models/common/models/qwen25_coder_32b/model.py,690,build_qwen25_coder_32b_model,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen2_7b/hf_adaptor.py,141,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/qwen2_7b/hf_adaptor.py,168,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/qwen2_7b/hf_adaptor.py,169,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/qwen2_7b/hf_adaptor.py,237,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/qwen2_7b/hf_adaptor.py,238,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
