path,blob_sha,role
models/common/readiness_check/contract.py,f9ec9dc321abcf1474e5845bf63c1139b02082db,readiness_tool
models/common/readiness_check/contract_vllm.py,17532121d80665f4e761c0accf1804b47a9e24a0,readiness_tool
models/common/readiness_check/generate.py,645b6c947b04066a9c1f65671c0a0d18948c62c4,readiness_tool
models/common/readiness_check/mesh_device.py,cd7b66bc550f71518884f1c45193a06704980d60,readiness_tool
models/common/readiness_check/references/.gitignore,29426e6d5e0492a7ee277b31c22cf9dcae271fa1,readiness_tool
models/common/readiness_check/run_autoregressive.py,ed00364cfde309bc72984fa943bb47e09e01bab6,readiness_tool
models/common/readiness_check/run_prefill_check.py,c132ef13786dd7307acc9de632100f142ac9afea,readiness_tool
models/common/readiness_check/run_teacher_forcing.py,e0461ec72b7b318ef51ebadb83e792a39ec4b4a8,readiness_tool
models/common/readiness_check/run_vllm_server.py,854a62c6b4caedd64708da951c89c51af96d10d2,readiness_tool
models/common/readiness_check/schema.py,339308ea412b41bcee3ade389c0d07f1d2147d9e,readiness_tool
models/common/readiness_check/teacher_forcing.py,8de088c6e2411310da9be9e63c1b4eec175b9639,readiness_tool
models/common/readiness_check/test_check_degenerate_output.py,01498a9419c250656fa43294512b546c8779f7f0,readiness_test
models/common/readiness_check/test_generate.py,e7ae3c07d8abe34053bccff5c754c52fa5d396df,readiness_test
models/common/readiness_check/test_run_prefill_check.py,55092b0db16dd156311339dc6eb350d127f4c130,readiness_test
models/common/readiness_check/test_run_teacher_forcing.py,5bfa8732775c11376cd8ed883e5250a0ebd888af,readiness_test
models/common/readiness_check/test_run_vllm_server.py,c3c382f4b9acb2998b37184a85ab16e083e79aac,readiness_test
models/common/readiness_check/test_schema.py,acada7854c4a4107b6c7241935c62db565045cab,readiness_test
models/common/readiness_check/vllm_prompts.txt,b95c9244dec7f2a9c9ce7c67a3590b023c7f4cf6,readiness_tool
models/common/tests/demos/cleanup_utils.py,80df955f818ab054d69d9e003d52665f0dcb369d,demo_support
models/common/tests/demos/deepseek_r1_distill_qwen_14b/__init__.py,e13459ada2877a67fad216d55a31379cb8db5e78,demo_support
models/common/tests/demos/deepseek_r1_distill_qwen_14b/demo.py,e290555fc59afd3684de4275ccdeea728fac8c7f,runnable_demo_test
models/common/tests/demos/deepseek_r1_distill_qwen_14b/generate_book_refpt.py,9f3c5903a11e8b7da5359d41742f2c70dc2766d7,reference_generator
models/common/tests/demos/llama32_1b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,demo_support
models/common/tests/demos/llama32_1b/demo.py,1b03e64cd311e252abd09e72e6a2a3418182e0a8,runnable_demo_test
models/common/tests/demos/llama32_3b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,demo_support
models/common/tests/demos/llama32_3b/demo.py,4d05b6998e2f7ec6c6a2ed1f8cea9b862dddc325,runnable_demo_test
models/common/tests/demos/llama33_70b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,demo_support
models/common/tests/demos/llama33_70b/demo.py,cf019a10969bc523695508c4a02833e0dc1b6d46,runnable_demo_test
models/common/tests/demos/llama3_8b/demo.py,5d0ff9235b1a965452afb5115fd374c9dcb48711,runnable_demo_test
models/common/tests/demos/llama3_8b/demo_utils.py,6590bd283b820469b2b1f02065c52fe7309700d2,demo_support
models/common/tests/demos/llama3_8b/reference_outputs/Llama-3.1-8B-Instruct.refpt,b5ee1619faa9824ed607befe5aff486046c8d8c7,demo_reference
models/common/tests/demos/llama3_8b/sample_prompts/input_data_questions_prefill_128.json,a18cf6f4622f46dbafbbcfaee0a5a25d30a4292d,demo_prompt
models/common/tests/demos/mistral_7b/demo.py,ce14cff6576a7761f47e6f02bc3b8111c9403e0f,runnable_demo_test
models/common/tests/demos/phi4/__init__.py,e13459ada2877a67fad216d55a31379cb8db5e78,demo_support
models/common/tests/demos/phi4/demo.py,684edcb5d70ec3dfce929521ef16e1c465c27a81,runnable_demo_test
models/common/tests/demos/qwen25_72b/demo.py,cdd379606cb406faa96e61512d7e2784ae608d0e,runnable_demo_test
models/common/tests/demos/qwen25_72b/generate_controlled_refpt.py,7ed7f5b022192233ea8bd5008e56ce4b97d4902c,reference_generator
models/common/tests/demos/qwen25_7b/demo.py,65debda1048019b053776818341b5aabd081b115,runnable_demo_test
models/common/tests/demos/qwen25_coder_32b/demo.py,714715c4774bd6ea48c1eec39684d4f1b34be3a5,runnable_demo_test
models/common/tests/demos/qwen2_7b/__init__.py,3fb3dc325bc3a65cd541a59c08df3b2b437d6724,demo_support
models/common/tests/demos/qwen2_7b/demo.py,cd9c3a2e81149517bed752b979d8336e36accf1a,runnable_demo_test
models/common/tests/demos/qwen2_7b/generate_controlled_refpt.py,8ea9c75a6ea2b0bae57377f49445a55c46273214,reference_generator
models/common/tests/demos/qwen3_32b/demo.py,725e85f512141ceb4f7144333a0c6b1589daf2d8,runnable_demo_test
models/common/tests/demos/run_helpers.py,6f346e4df73e79fd4fe30b91e4bd1b6c1a87c201,demo_support
models/common/tests/demos/test_cleanup_utils.py,676255a5c5411e0fba41af0471526bbf27d5f412,demo_support
models/common/tests/demos/test_run_helpers.py,e23b96cfc096c956dc7e25f7ac2613a7321ed7ad,demo_support
models/tttv2_bh_required_capabilities.schema.json,929cfa7f42485f847263f6bd75826b34e4123abc,blackhole_capability_schema
models/tttv2_llama33_70b_bh_required_capabilities.json,2eb08039c349d991aa11b26dd9fc31ac349d90ea,blackhole_capability_manifest
models/tttv2_llama3_8b_bh_required_capabilities.json,f0e914be84d2341f21832de3b9ac4241ddf75f2d,blackhole_capability_manifest
models/tttv2_qwen3_32b_bh_required_capabilities.json,3f9a6ec4dcde9dd846d46170c2567432c6352ca8,blackhole_capability_manifest
models/tttv2_validate_bh_required_capabilities.py,9bdca9b09592ae76bb8171881793a43bd09cfd50,qualification_validator
models/tttv2_validate_vllm_matrix.py,ed44eb95cfdfd35ba3bab71d3093b3900b155952,qualification_validator
models/tttv2_vllm_hardware_gate_runner.sh,59f43c23e5b2c84dd8aeb32391c94c55912a0c64,qualification_runner
tests/tests_common/cache_entries_counter.py,028364b7e8c6fe1a5d8a5d60f804443b69030b67,fixture_support
